LearnerID,StudyHours,QuizScore,AssignmentScore,AttendanceRate,InteractionCount,CourseCompletion,Log_StudyHours,QuizCategory,CLEI_Score,PredictedCompletionProb,RiskTier,PrescriptiveAction
STU-1052,9.4,40.0,44.5,90.1,32,1,2.3418,Needs Support,38.48,0.2785,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1053,20.4,35.4,47.6,82.0,51,1,3.0634,Needs Support,45.07,0.4273,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1054,15.2,59.3,62.6,89.3,48,1,2.785,Progressing,54.63,0.6599,Moderate Risk (Needs Monitoring),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1055,13.4,41.3,49.5,86.7,40,1,2.6672,Needs Support,42.09,0.3564,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs
STU-1056,20.9,45.1,53.9,92.2,61,1,3.0865,Needs Support,58.36,0.7381,Low Risk (On Track for Distinction),Enroll in Remedial Problem-Solving Labs
STU-1057,8.3,40.4,51.3,79.9,23,0,2.23,Needs Support,29.13,0.1316,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1058,10.5,42.7,56.2,85.3,32,1,2.4423,Needs Support,37.47,0.2586,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs
STU-1059,14.9,53.4,46.7,79.8,37,1,2.7663,Needs Support,43.29,0.3844,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs
STU-1060,14.6,60.0,61.3,95.7,44,1,2.7473,Progressing,57.52,0.7215,Low Risk (On Track for Distinction),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1061,5.0,44.1,55.2,95.9,31,1,1.7918,Needs Support,39.97,0.3094,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1062,9.9,32.5,45.1,74.1,45,0,2.3888,Needs Support,28.73,0.1271,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs | Mandatory mentor check-in for attendance remediation
STU-1063,11.6,41.9,40.8,70.0,25,0,2.5337,Needs Support,26.7,0.1062,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Mandatory mentor check-in for attendance remediation
STU-1064,15.8,46.4,48.3,73.3,42,1,2.8214,Needs Support,38.19,0.2727,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Mandatory mentor check-in for attendance remediation
STU-1065,14.6,42.5,41.9,58.4,41,0,2.7473,Needs Support,25.91,0.0989,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Mandatory mentor check-in for attendance remediation
STU-1066,12.1,42.0,49.1,92.3,40,1,2.5726,Needs Support,44.84,0.4217,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1067,3.3,23.6,28.0,58.7,13,0,1.4586,Needs Support,2.19,0.0101,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs | Mandatory mentor check-in for attendance remediation | Participate in peer discussion forum threads
STU-1068,12.5,45.5,48.6,72.2,31,0,2.6027,Needs Support,31.77,0.1648,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Mandatory mentor check-in for attendance remediation
STU-1069,13.1,56.6,56.8,83.8,37,1,2.6462,Progressing,45.66,0.4418,Moderate Risk (Needs Monitoring),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1070,39.5,77.4,68.1,75.4,76,1,3.7013,Excelling,80.18,0.9615,Low Risk (On Track for Distinction),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1071,11.3,44.0,43.8,80.2,41,1,2.5096,Needs Support,37.59,0.261,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs
STU-1072,14.9,35.3,36.8,60.8,32,0,2.7663,Needs Support,22.53,0.0726,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Mandatory mentor check-in for attendance remediation
STU-1073,22.7,61.9,61.0,89.8,52,1,3.1655,Progressing,63.19,0.8204,Low Risk (On Track for Distinction),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1074,18.8,42.3,54.2,80.6,51,1,2.9857,Needs Support,45.74,0.4437,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1075,25.5,49.4,45.7,76.0,63,1,3.2771,Needs Support,54.19,0.65,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1076,5.1,56.3,63.8,97.9,36,1,1.8083,Progressing,47.59,0.4898,Moderate Risk (Needs Monitoring),Increase weekly active study time by 3.5 hrs
STU-1077,6.8,40.3,48.2,75.8,33,0,2.0541,Needs Support,27.63,0.1154,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1078,9.0,45.1,66.4,97.2,36,1,2.3026,Needs Support,45.72,0.4432,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1079,4.5,40.1,39.3,72.4,21,0,1.7047,Needs Support,20.63,0.0608,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs | Mandatory mentor check-in for attendance remediation
STU-1080,13.2,51.2,45.9,69.2,33,1,2.6532,Needs Support,33.3,0.1869,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Mandatory mentor check-in for attendance remediation
STU-1081,7.2,40.8,47.3,93.0,31,1,2.1041,Needs Support,38.58,0.2805,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1082,27.2,53.8,43.1,75.0,57,1,3.3393,Needs Support,55.37,0.6763,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1083,7.9,39.0,61.1,88.7,22,0,2.1861,Needs Support,33.55,0.1908,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1084,10.5,55.1,52.4,92.3,37,1,2.4423,Progressing,48.26,0.5065,Moderate Risk (Needs Monitoring),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1085,19.4,63.8,59.0,91.5,55,1,3.0155,Progressing,63.04,0.8182,Low Risk (On Track for Distinction),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1086,5.8,48.0,59.1,77.7,24,0,1.9169,Needs Support,29.07,0.1309,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1087,4.3,46.6,42.7,85.6,26,0,1.6677,Needs Support,32.72,0.1783,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1088,14.0,35.6,52.7,86.7,51,1,2.7081,Needs Support,42.83,0.3736,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs
STU-1089,14.6,40.9,33.0,60.2,41,0,2.7473,Needs Support,26.38,0.1032,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Mandatory mentor check-in for attendance remediation
STU-1090,19.1,44.4,59.3,84.5,60,1,3.0007,Needs Support,51.47,0.5859,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1091,16.8,49.3,43.7,91.6,56,1,2.8792,Needs Support,55.15,0.6715,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1092,14.9,53.5,48.8,93.0,49,1,2.7663,Needs Support,54.54,0.6579,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1093,8.4,51.4,54.2,90.7,38,1,2.2407,Needs Support,44.21,0.4064,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1094,14.4,41.3,56.3,85.1,34,1,2.7344,Needs Support,40.47,0.3202,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs
STU-1095,14.9,32.9,48.3,91.6,50,1,2.7663,Needs Support,45.31,0.4332,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1096,8.2,41.4,46.5,79.5,36,0,2.2192,Needs Support,32.31,0.1724,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1097,31.1,90.8,87.3,96.5,75,1,3.4689,Excelling,91.91,0.9878,Low Risk (On Track for Distinction),Eligible for Advanced Honors Projects & Peer Mentoring
STU-1098,16.3,51.4,70.7,91.7,43,1,2.8507,Needs Support,52.58,0.6125,Moderate Risk (Needs Monitoring),Enroll in Remedial Problem-Solving Labs
STU-1099,6.9,39.6,52.1,80.9,25,0,2.0669,Needs Support,28.75,0.1273,High Risk (Critical Intervention),Enroll in Remedial Problem-Solving Labs | Increase weekly active study time by 3.5 hrs
STU-1100,19.1,66.0,57.8,81.5,51,1,3.0007,Progressing,56.43,0.6991,Moderate Risk (Needs Monitoring),Eligible for Advanced Honors Projects & Peer Mentoring
